Prince kumar,1,6203594022,8,5500.00
Amrit kumar,2,6299440844,6,4800.00
Anaya Sharma,3,9876543210,8,5000.00
Rohan Verma,4,9988776655,7,6000.00
Sneha Patel,5,9871234567,9,4500.00
Vikram Singh,6,9988554433,10,7000.00
Priya Gupta,7,9898989898,6,5200.00
Karan Yadav,8,9865432109,8,5800.00
Neha Joshi,9,9678123456,7,4900.00
Rahul Mehta,10,9765432189,9,6300.00
Sita Rani,11,9654321098,10,7200.00
Amit Desai,12,9543210987,8,5600.00
Riya Kapoor,13,9432109876,7,4700.00
Nikhil Soni,14,9321098765,6,4500.00
Pooja Nair,15,9210987654,10,6800.00
Arjun Reddy,16,9109876543,8,5900.00
Meera Das,17,8998765432,9,5400.00
Suresh Choudhary,18,8887654321,6,5100.00
Tara Iyer,19,8776543210,7,5000.00
Vijay Rathi,20,8665432109,8,5750.00
Shalini Yadav,21,8554321098,10,7300.00
Rajesh Bansal,22,8443210987,9,6500.00
